DialogueID,ClipID,ParticipantID,Usage,FileName,Duration (s),Text,Emotion,Sentiment
1,1,100031,,dia1_clip1,1,Бәрі жақсы ма?,neutral,neutral
1,2,100032,,dia1_clip2,5,"Иә, бәрі жақсы. Тек жүктілігіңізге толық көз жеткізу үшін, сізге ХГЧ тапсыру керек.",neutral,neutral
1,3,100031,,dia1_clip2,1,Тапсырайық.,neutral,neutral
1,4,100032,,dia1_clip4,4,"Ақмарал, направление жазып бер де, шығарып салшы.",neutral,neutral
1,5,100033,,dia1_clip5,3,"А, иә, жаздым, дайын.",neutral,neutral
1,6,100031,,dia1_clip6,8,"Ал жақсы, Адема Ғаниқызы. Көп - көп рақмет сізге. Бәрі сіздің арқаңыз. Бұйырса жолдасым екеуіміз сізге арнайы сыйлық алып келіп кетеміз.",joy,positive
1,7,100032,,dia1_clip7,2,Жоқ ол не дегеіңіз. Ештеңе де керек емес.,neutral,positive
1,8,100031,,dia1_clip8,6,"Шыға беремін ғой, иә? Ал жақсы, аман болыңыз, сау болыңыз. Көріскенше. ",joy,positive
1,9,100033,,dia1_clip9,4,"Уф, ма, құлағымды жеп қойды ғой.",anger,negative
2,1,100034,,dia2_clip1,6,"Тура бір тапсырыспен болғандай, иә? Қыздары бар, енді ұлды болатын болды.",joy,positive
2,2,100032,,dia2_clip2,1,"Иә, күшті.",neutral,positive
2,3,100034,,dia2_clip3,12,"Жан, мұңаймашы. Мен тілекшімін. Сендерде де осындай гендер пати болсын. Мирас екеуің сондай әдемі жұпсыңдар, тек бөпе ғана жетімпей тұр.",neutral,neutral
2,4,100032,,dia2_clip4,4,"Жоға, бізде бәрі жақсы.",joy,positive
3,1,100032,,dia3_clip1,30,"Болды. Мен шаршадым, Мирас. Енді ешқандай да гендер патиға бармаймын. Шаршадым мен, шаршадым. Бітпейтін сұрақтар. ""Әдемі, сенің әлі аяғың ауыр емес пе не?"". ""Бәрі де жақсы болады, балаларың әлі-ақ болады"". ""Хм, гинекологтың баласы жоқ деген қызық екен"". Не шаруалары бар менде бола ма, болмай ма? Бітпейтін сұрақтар. Вот осындай сұрақтар мына жерімде тұр менің, Мирас, менің құсқым келеді.",anger,negative
3,2,100035,,dia3_clip2,1,Иә.,fear,negative
3,3,100032,,dia3_clip3,7,"А, сен олардың не сыйлайтынын маған білмейсің ғой. Мен саған көрсетемін қазір, вот мен саған қазір көрсетемін.",anger,negative
3,4,100032,,dia3_clip4,4,Мынау Дәрияның әжесінікі.,joy,negative
3,5,100035,,dia3_clip5,2,Хахахаха.,joy,positive
3,6,100032,,dia3_clip6,2,"Күлмеші, күлмеші!",anger,negative
3,7,100032,,dia3_clip7,4,"Мынау, міне. Вот міне, сып-свежий.",disgust,negative
3,8,100032,,dia3_clip8,2,Қашан бітеді бұл сұрақ сонда?,anger,negative
3,9,100035,,dia3_clip9,3,"Жан, сен неге сақтап жүрсің бұның бәрін?",neutral,neutral
3,10,100032,,dia3_clip10,1,А вдруг көмектеседі.,neutral,neutral
3,11,100035,,dia3_clip11,2,Жан.,joy,positive
3,12,100035,,dia3_clip12,2,Хотя бы таза ма?,neutral,neutral
4,1,100032,,dia4_clip1,3,Көмектескен сияқты.,surprise,neutral
4,2,100035,,dia4_clip2,2,Түсінбедім,neutral,neutral
4,3,100032,,dia4_clip3,5,Менде төртінші күн задержка.,neutral,positive
4,4,100035,,dia4_clip4,3,Төртінші күн?,surprise,neutral
4,5,100035,,dia4_clip5,3,Алдында екеу болды.,neutral,neutral
4,6,100032,,dia4_clip6,3,"Иә, екі күн.",neutral,neutral
4,7,100035,,dia4_clip7,4,Шынымен көмектескен сияқты ғой.,joy,positive
4,8,100035,,dia4_clip8,2,Кімдікін киіп едің?,joy,positive
4,9,100032,,dia4_clip9,6,"Жан, тұра тұр, асықпайық. Бірінші ертең барып мен қан тапсырып келейін, сосын көреміз.",neutral,neutral
4,10,100035,,dia4_clip10,2,Осы жолы точно болады.,neutral,positive
5,1,100036,,dia5_clip1,2,Жиналысқа жоба дайындадың ба?,neutral,neutral
5,2,100035,,dia5_clip2,4,"Иә, дайындадым. Анау, бір екі жерін қарап жіберу керек.",neutral,neutral
5,3,100036,,dia5_clip3,5,"Өзіңше емес, мен көрсеткендей нормально істе, адам түсінетіндей.",anger,negative
5,4,100036,,dia5_clip4,4,Өткендегі тұрғын үйдің жобасы бітпей қалды. Қайта істейсің.,neutral,negative
5,5,100035,,dia5_clip5,2,Жақсы.,neutral,negative
5,6,100036,,dia5_clip6,3,Әдемі қалай?,neutral,neutral
5,7,100035,,dia5_clip7,3,"Жаман емес, пап.",neutral,neutral
5,8,100036,,dia5_clip8,1,Жүр.,neutral,neutral